Date,Price,Open,High,Low,LQ45_Vol,Change %
10/08/2020,806.9,806.19,809.1,802.66,1.71B,0.09%
07/08/2020,806.19,811.59,812.67,799.91,3.10B,-0.67%
06/08/2020,811.59,801.69,813.8,801.71,2.62B,1.23%
05/08/2020,801.69,789.9,802.43,786.06,2.63B,1.49%
04/08/2020,789.9,774.37,789.9,774.47,2.25B,2.01%
03/08/2020,774.37,803.01,804.86,760.47,3.07B,-3.57%
30/07/2020,803.01,795.38,803.01,792.05,2.68B,0.96%
29/07/2020,795.38,799.68,800.38,793.46,1.81B,-0.54%
28/07/2020,799.68,800.36,807.09,796.7,1.64B,-0.09%
27/07/2020,800.36,791.14,800.36,790.44,1.66B,1.17%
24/07/2020,791.14,806.55,807.03,791.14,1.87B,-1.91%
23/07/2020,806.55,799.72,811.28,799.83,2.67B,0.86%
22/07/2020,799.72,800.48,806.51,797.58,2.45B,-0.10%
21/07/2020,800.48,785.83,806.63,784.96,2.48B,1.86%
20/07/2020,785.83,792.82,797.11,781.6,1.59B,-0.88%
17/07/2020,792.82,797.85,799.79,792.82,1.58B,-0.63%
16/07/2020,797.85,793.95,801.17,793.95,1.71B,0.49%
15/07/2020,793.95,795.33,804.06,793.5,2.10B,-0.17%
14/07/2020,795.33,791.85,798.28,790.65,1.79B,0.44%
13/07/2020,791.85,784.56,794.28,782.56,1.57B,0.93%
10/07/2020,784.56,789.53,794.05,784.56,1.59B,-0.63%
09/07/2020,789.53,796.59,804.1,789.24,2.54B,-0.89%
08/07/2020,796.59,775.9,798.72,775.81,2.68B,2.67%
07/07/2020,775.9,775.3,781.59,774.74,2.14B,0.08%
06/07/2020,775.3,770.96,778.51,770.65,2.03B,0.56%
03/07/2020,770.96,769.82,775.48,769.14,2.12B,0.15%
02/07/2020,769.82,759.38,769.82,759.38,2.48B,1.37%
01/07/2020,759.38,756.2,760.78,753.49,1.52B,0.42%
30/06/2020,756.2,759.62,766.15,756.2,2.04B,-0.45%
29/06/2020,759.62,760.3,762.34,751.94,1.54B,-0.09%
26/06/2020,760.3,760.04,770.08,758.42,1.78B,0.03%
25/06/2020,760.04,771.91,771.91,757.02,1.76B,-1.54%
24/06/2020,771.91,754.31,775.3,754.31,2.64B,2.33%
23/06/2020,754.31,761.21,762.59,752.54,1.81B,-0.91%
22/06/2020,761.21,767.44,769.74,758.3,1.51B,-0.81%
19/06/2020,767.44,761.98,772.67,761.98,2.10B,0.72%
18/06/2020,761.98,775.46,777.99,761.98,2.31B,-1.74%
17/06/2020,775.46,776.03,782.61,770.85,2.48B,-0.07%
16/06/2020,776.03,739.86,777.2,739.86,2.96B,4.89%
15/06/2020,739.86,752.11,760.47,738.27,2.74B,-1.63%
12/06/2020,752.11,745.31,753.09,715.9,3.41B,0.91%
11/06/2020,745.31,758.95,762.28,736.34,2.89B,-1.80%
10/06/2020,758.95,782.64,782.92,754.2,3.48B,-3.03%
09/06/2020,782.64,795.29,808.98,782.64,3.46B,-1.59%
08/06/2020,795.29,770.67,803.78,770.67,4.36B,3.19%
05/06/2020,770.67,764.61,772.83,748.23,3.60B,0.79%
04/06/2020,764.61,770.66,786.17,760.21,4.38B,-0.79%
03/06/2020,770.66,749.52,772.07,748.19,4.96B,2.82%
02/06/2020,749.52,725.83,757.91,725.83,3.99B,3.26%
29/05/2020,725.83,709.36,725.83,706.18,6.98B,2.32%
28/05/2020,709.36,693.85,716.18,693.42,3.36B,2.91%
26/05/2020,689.33,672.14,691.49,671.2,2.24B,2.56%
20/05/2020,672.14,671.07,675.1,664.18,1.59B,0.16%
19/05/2020,671.07,660.47,683.7,660.47,2.23B,1.61%
18/05/2020,660.47,657.1,663.62,653.55,1.89B,0.51%
15/05/2020,657.1,661.52,667.61,648.65,2.33B,-0.67%
14/05/2020,661.52,674.47,675.27,658.05,2.21B,-1.92%
13/05/2020,674.47,681.67,681.67,666.94,1.96B,-1.06%
12/05/2020,681.67,695.29,696.86,675.4,2.02B,-1.96%
11/05/2020,695.29,686.23,697.94,686.23,2.03B,1.32%
08/05/2020,686.23,687.44,693.05,684.31,2.18B,-0.18%
06/05/2020,687.44,690.96,694.56,684.4,1.66B,-0.51%
05/05/2020,690.96,689.33,702.27,687.23,1.56B,0.24%
04/05/2020,689.33,713.64,713.64,682.11,1.67B,-3.41%
30/04/2020,713.64,680.46,718,680.46,2.78B,4.88%
29/04/2020,680.46,671.17,681.33,669.63,1.68B,1.39%
28/04/2020,671.17,669.76,673.37,664.39,1.72B,0.21%
27/04/2020,669.76,663.7,674.04,660.79,1.49B,0.91%
24/04/2020,663.7,684.72,685,663.7,1.78B,-3.07%
23/04/2020,684.72,682.4,695.34,682.4,1.93B,0.34%
22/04/2020,682.4,667.63,687.51,654.86,2.09B,2.21%
21/04/2020,667.63,682.84,682.84,665.47,1.58B,-2.23%
20/04/2020,682.84,695.47,702.65,682.84,1.67B,-1.81%
17/04/2020,695.47,662.69,697.18,662.69,2.29B,4.95%
16/04/2020,662.69,694.44,694.44,660.05,2.08B,-4.57%
15/04/2020,694.44,712.26,721.26,690.38,2.30B,-2.50%
14/04/2020,712.26,693.48,712.26,693.48,2.01B,2.71%
13/04/2020,693.48,700.06,701.95,686.98,1.35B,-0.94%
09/04/2020,700.06,697.73,707.68,684.64,2.09B,0.33%
08/04/2020,697.73,729.74,730.18,689.93,1.99B,-4.39%
07/04/2020,729.74,736.73,771.21,718.02,3.56B,-0.95%
06/04/2020,736.73,702.42,736.73,702.42,2.96B,4.88%
03/04/2020,702.42,688.11,702.42,687.81,2.20B,2.08%
02/04/2020,688.11,678.3,688.11,660.57,1.85B,1.45%
01/04/2020,678.3,691.13,710.86,671.09,2.11B,-1.86%
31/03/2020,691.13,670.77,703.4,670.77,2.35B,3.03%
30/03/2020,670.77,698.78,698.78,653.23,1.46B,-4.01%
27/03/2020,698.78,651.41,730.23,651.41,3.96B,7.27%
26/03/2020,651.41,566.83,660.29,566.05,4.43B,14.92%
24/03/2020,566.83,583.41,614.93,566.34,2.65B,-2.84%
23/03/2020,583.41,624.76,624.76,583,1.47B,-6.62%
20/03/2020,624.76,612.12,642.34,573.57,3.60B,2.07%
19/03/2020,612.12,655.63,655.63,610.75,1.15B,-6.64%
18/03/2020,655.63,683.66,689.47,647.15,1.87B,-4.10%
17/03/2020,683.66,731.95,734.22,682.82,1.54B,-6.60%
16/03/2020,731.95,777.27,776.52,729.63,1.33B,-5.83%
13/03/2020,777.27,769.64,786.21,717.51,2.54B,0.99%
12/03/2020,769.64,790.92,798.78,769.64,1.58B,-6.12%
11/03/2020,819.77,835.32,841.95,811.03,1.73B,-1.53%
10/03/2020,832.47,816.92,848.16,816.91,1.71B,2.30%
09/03/2020,813.75,852.78,855.56,813.75,1.58B,-8.26%
06/03/2020,887.03,902.66,903.6,887.03,1.03B,-3.55%
05/03/2020,919.68,931.97,935.48,912.6,1.19B,-0.31%
04/03/2020,922.51,893.69,923.96,892.14,1.50B,3.43%
03/03/2020,891.94,876.27,900.19,874.63,1.52B,3.79%
02/03/2020,859.33,880.22,888.22,859.33,1.53B,-2.30%
28/02/2020,879.53,866.12,880.33,846.02,2.01B,-1.48%
27/02/2020,892.76,920.12,920.66,889.66,1.43B,-3.24%
26/02/2020,922.66,933.65,935.03,922.66,1.36B,-2.02%
25/02/2020,941.68,935.16,947.18,932.76,1.14B,0.02%
24/02/2020,941.51,948.12,953.91,939.09,1.42B,-1.66%
21/02/2020,957.37,968.17,968.99,955.86,1.22B,-1.15%
20/02/2020,968.54,967.99,971.65,965.04,1.11B,0.43%
19/02/2020,964.39,960,964.66,959.93,1.02B,0.85%
18/02/2020,956.28,951.57,963.55,951.12,1.09B,0.22%
17/02/2020,954.17,952.88,957.92,950.52,845.46M,0.02%
14/02/2020,953.95,949.61,958.46,946.99,905.28M,-0.03%
13/02/2020,954.21,963.53,964.9,951.81,902.88M,-0.70%
12/02/2020,960.98,968.34,969.58,958.54,1.09B,-0.66%
11/02/2020,967.38,971.7,973.94,964.93,805.05M,-0.10%
10/02/2020,968.34,974.96,975.82,962.97,1.18B,-0.89%
07/02/2020,977,976.57,979.45,974.59,1.07B,0.13%
06/02/2020,975.71,983.33,984.61,973.2,1.05B,-0.09%
05/02/2020,976.56,972.64,976.56,964.48,1.17B,1.21%
04/02/2020,964.84,970.63,970.63,961.27,1.34B,1.21%
03/02/2020,953.26,956.39,965.25,950.16,1.09B,-0.91%
31/01/2020,961.98,991.4,991.79,961.98,1.33B,-2.55%
30/01/2020,987.2,1004.84,1004.89,986.81,806.77M,-1.31%
29/01/2020,1000.32,1003.67,1009.15,998.56,877.65M,-0.03%
28/01/2020,1000.67,997.58,1001.67,989.39,982.99M,-0.31%
27/01/2020,1003.79,1024.65,1024.91,1003.65,893.90M,-2.12%
24/01/2020,1025.5,1022.84,1028.62,1020.06,708.11M,0.09%
23/01/2020,1024.59,1023.73,1025.62,1019.38,801.95M,0.37%
22/01/2020,1020.84,1024.17,1026.97,1019.9,987.12M,-0.18%
21/01/2020,1022.68,1023.98,1025.13,1017.96,846.54M,0.07%
20/01/2020,1022.01,1034.94,1035.42,1020.65,1.06B,-0.74%
17/01/2020,1029.63,1027.63,1029.65,1023.34,930.98M,0.37%
16/01/2020,1025.81,1023.2,1028.27,1017.78,1.15B,0.07%
15/01/2020,1025.07,1032.51,1036.62,1018.54,1.28B,-0.70%
14/01/2020,1032.32,1028.24,1032.32,1025.46,1.23B,0.69%
13/01/2020,1025.29,1021.59,1025.29,1018.71,1.14B,0.72%
10/01/2020,1018.01,1020.16,1021.11,1016.41,965.23M,0.12%
09/01/2020,1016.84,1011.49,1016.84,1009.86,1.04B,1.13%
08/01/2020,1005.45,1007.1,1010.44,1004.1,1.37B,-0.91%
07/01/2020,1014.64,1013.78,1016.53,1008.49,1.19B,0.44%
06/01/2020,1010.23,1012.93,1016.16,1005.83,1.12B,-1.10%
03/01/2020,1021.49,1016.72,1021.49,1012.97,1.08B,0.98%
02/01/2020,1011.62,1017.16,1017.52,1007.5,612.73M,-0.28%
30/12/2019,1014.47,1022.34,1023.88,1014.47,809.23M,-0.81%
27/12/2019,1022.72,1021.66,1024.25,1020.6,716.75M,0.11%
26/12/2019,1021.56,1020.04,1024.66,1019.54,798.85M,-0.01%
23/12/2019,1021.62,1025.72,1025.85,1014.62,953.38M,0.32%
20/12/2019,1018.32,1010.85,1018.32,1006.55,1.28B,0.87%
19/12/2019,1009.5,1015.6,1017.05,1006.12,1.12B,-0.94%
18/12/2019,1019.09,1007.8,1019.09,1002.79,1.37B,1.09%
17/12/2019,1008.13,1004.08,1008.13,998.87,1.29B,0.71%
16/12/2019,1001,997.99,1006.43,997.99,1.54B,0.34%
13/12/2019,997.65,993.12,997.65,990.81,1.35B,1.57%
12/12/2019,982.23,991.56,995.44,982.23,1.13B,-0.80%
11/12/2019,990.12,993.62,995.03,988.31,1.03B,-0.20%
10/12/2019,992.11,990.84,994.93,990.12,1.02B,-0.11%
09/12/2019,993.24,994.08,996.39,989.49,1.24B,0.07%
06/12/2019,992.52,988.17,993.12,982.77,1.03B,0.62%
05/12/2019,986.36,979.26,986.69,978.83,1.21B,1.26%
04/12/2019,974.13,974.99,977.5,970.63,949.77M,-0.37%
03/12/2019,977.77,975.57,980.88,972.56,901.01M,-0.05%
02/12/2019,978.26,960.71,978.26,959.93,985.62M,2.24%
29/11/2019,956.82,945.74,960.12,942.48,904.90M,1.14%
28/11/2019,946,957.81,963.91,944.93,1.00B,-1.58%
27/11/2019,961.19,957.63,967.21,953.16,1.03B,0.25%
26/11/2019,958.82,973.3,973.8,958.82,2.63B,-0.92%
25/11/2019,967.76,975.72,977.5,965.11,824.32M,-0.99%
22/11/2019,977.46,979.91,982.47,975.26,849.35M,-0.29%
21/11/2019,980.32,983.01,983.49,975.39,885.93M,-0.81%
20/11/2019,988.33,981.59,990.3,978.42,1.04B,0.25%
19/11/2019,985.9,977.99,985.9,972.9,973.36M,1.20%
18/11/2019,974.22,974.13,976.91,970.3,833.76M,-0.12%
15/11/2019,975.37,969.93,977.21,963.99,831.12M,1.12%
14/11/2019,964.58,972.66,974.64,956.75,998.14M,-1.06%
13/11/2019,974.88,982.88,983.72,971.89,949.61M,-0.95%
12/11/2019,984.22,974.45,984.22,973.83,942.30M,0.59%
11/11/2019,978.47,979.06,981.67,974.35,809.31M,-0.33%
08/11/2019,981.69,977.8,982.59,970.78,1.15B,0.34%
07/11/2019,978.36,992.1,992.17,966.18,1.41B,-0.98%
06/11/2019,988.01,1001.81,1001.87,985.8,1.28B,-1.18%
05/11/2019,999.76,982.03,999.76,980.12,1.31B,2.42%
04/11/2019,976.17,983.01,988.07,976.17,1.18B,-0.40%
01/11/2019,980.09,984.16,985.78,976.79,1.62B,-0.48%
31/10/2019,984.84,996.35,997.57,979.07,1.76B,-1.42%
30/10/2019,999.01,1002.26,1002.42,992.72,1.02B,0.12%
29/10/2019,997.85,993.67,997.85,989.6,1.32B,0.43%
28/10/2019,993.58,991.99,996.8,988.94,895.39M,0.23%
25/10/2019,991.31,1012.14,1012.65,989.65,1.14B,-1.99%
24/10/2019,1011.46,995.78,1011.91,994.49,1.58B,1.95%
23/10/2019,992.12,982.39,992.12,977.16,1.27B,0.94%
22/10/2019,982.91,977.23,982.91,971.07,1.01B,0.74%
21/10/2019,975.69,978.53,981.7,972.91,975.74M,0.11%
18/10/2019,974.6,968.8,976.86,967.77,1.77B,0.71%
17/10/2019,967.76,962.39,967.95,961.98,1.20B,0.54%
16/10/2019,962.61,962.41,963.91,957.12,1.08B,0.30%
15/10/2019,959.74,955.51,959.74,950.96,987.18M,0.55%
14/10/2019,954.48,954.42,958.9,949.31,874.34M,0.68%
11/10/2019,948.07,936.42,949.47,936.39,930.42M,1.57%
10/10/2019,933.42,932.88,937.76,932.48,1.08B,-0.14%
09/10/2019,934.75,935.99,939.26,933.48,943.20M,-0.35%
08/10/2019,937.99,937.26,940.93,931.95,991.76M,0.75%
07/10/2019,931.04,947.05,947.66,929.22,899.00M,-1.23%
04/10/2019,942.64,940.71,945.66,939.09,1.54B,0.77%
03/10/2019,935.43,935.39,939.44,928.34,1.56B,-0.67%
02/10/2019,941.74,956.57,963.2,941.74,991.42M,-1.92%
01/10/2019,960.15,967.05,968.89,960.11,794.11M,-0.83%
30/09/2019,968.15,970.76,972.09,962.97,976.52M,-0.44%
27/09/2019,972.45,974.35,976.23,970.65,750.46M,-0.68%
26/09/2019,979.12,966.8,979.85,964.89,987.42M,1.87%
25/09/2019,961.13,956.83,961.32,948,879.60M,-0.04%
24/09/2019,961.53,971.8,972.95,959.28,1.16B,-1.56%
23/09/2019,976.78,981.96,983.64,974.88,956.17M,-0.41%
20/09/2019,980.77,983.57,985.38,976.29,1.54B,-0.21%
19/09/2019,982.8,990.01,991.38,982.19,923.38M,-0.91%
18/09/2019,991.84,985.92,991.84,984.86,1.12B,0.60%
17/09/2019,985.92,981.45,986.73,978.28,1.17B,0.27%
16/09/2019,983.25,985.04,985.77,973.72,1.52B,-0.91%
13/09/2019,992.25,1000.11,1000.68,989.97,905.13M,-0.04%
12/09/2019,992.62,1006.56,1009.35,992.62,1.22B,-0.99%
11/09/2019,1002.55,992.21,1002.55,988.01,1.47B,0.98%
10/09/2019,992.86,991.44,992.96,987.41,1.35B,0.29%
09/09/2019,989.97,993.65,993.82,986.22,1.20B,0.12%
06/09/2019,988.78,992.39,993.79,985.78,1.18B,0.26%
05/09/2019,986.2,983.79,986.28,978.54,1.10B,0.96%
04/09/2019,976.78,979.11,979.18,970.52,1.15B,-0.04%
