Date,Price,Open,High,Low
23/07/2004,168.38,167.68,168.38,166.73
22/07/2004,167.81,166.09,167.81,165.77
21/07/2004,167.72,167.4,168.12,166.62
20/07/2004,166.86,165.78,167.02,165.44
19/07/2004,166.45,166.31,166.57,164.93
16/07/2004,166.49,163.01,166.49,163.01
15/07/2004,163.51,163.01,164,161.42
14/07/2004,163.22,165.15,165.34,161.59
13/07/2004,166.06,165.36,166.52,164.56
12/07/2004,166.18,168.21,168.42,165.27
09/07/2004,167.66,166.66,167.66,165.61
08/07/2004,167.24,170.45,170.71,166.77
07/07/2004,170.34,167.76,170.5,167.03
06/07/2004,169.41,167,169.82,167
05/07/2004,163.69,159.3,163.69,159.17
02/07/2004,163.69,159.3,163.69,159.17
01/07/2004,159.68,159.42,159.68,158.49
30/06/2004,160.31,158.53,160.94,158.44
29/06/2004,158.1,157.22,158.1,156.46
28/06/2004,157.84,157.62,158.01,155.86
25/06/2004,158.09,155,158.09,154.97
24/06/2004,155.35,153.86,155.35,152.85
23/06/2004,152.72,150.38,152.72,150.38
22/06/2004,150.11,149.34,150.11,148.57
21/06/2004,149.67,150.96,151.13,148.92
18/06/2004,150.27,151.02,151.16,149.32
17/06/2004,151.7,152.79,152.79,150.5
16/06/2004,153.12,153.8,153.97,152.34
15/06/2004,152.79,150.02,152.82,149.1
14/06/2004,150.14,151.53,151.53,149.11
11/06/2004,151.57,152.13,152.13,150.87
10/06/2004,152.29,152.69,153.05,151.15
09/06/2004,153.46,152.79,153.82,152.58
08/06/2004,152.69,153.65,153.65,152.31
07/06/2004,152.13,153.38,153.88,151.18
04/06/2004,151.97,153.38,153.38,149.59
02/06/2004,156.55,158.13,158.13,154.6
01/06/2004,158.58,158.88,158.88,157.82
31/05/2004,159.1,159.03,159.1,156.96
28/05/2004,159.42,158.79,159.88,158.43
27/05/2004,158.11,156.53,158.11,156.53
26/05/2004,155.34,157.35,157.6,154.98
25/05/2004,155.34,157.84,157.84,152.91
24/05/2004,158.95,157.77,159.38,157.77
21/05/2004,157.28,154.93,158.75,154.59
19/05/2004,153.06,147.54,153.06,147.54
18/05/2004,145.29,143.98,146.34,142.46
17/05/2004,142.71,155.52,155.52,142.35
14/05/2004,156.24,159.43,159.49,155.07
13/05/2004,159.63,159.75,162.12,158.64
12/05/2004,161.11,156.71,161.73,156.71
11/05/2004,155.07,150.61,155.16,150.6
10/05/2004,153.24,158.53,158.53,152.31
07/05/2004,161.11,161.4,162.31,160.1
06/05/2004,162.22,165.11,165.11,161.91
05/05/2004,165.29,170.75,170.99,165.02
04/05/2004,170.14,171.25,171.53,169.39
30/04/2004,170.65,173.92,173.92,168.5
29/04/2004,175.11,178.21,178.21,173.79
28/04/2004,179.49,179.53,180.03,178.38
27/04/2004,179.47,179.08,179.55,178.4
26/04/2004,178.52,178.22,179,177.22
23/04/2004,178.74,176.45,178.74,176.45
22/04/2004,175.59,177.47,177.47,175.34
21/04/2004,178.24,177.08,181.69,176.58
20/04/2004,177.24,170.6,177.24,170.6
19/04/2004,170.44,168.93,170.44,168.6
16/04/2004,168.92,169,169.33,168.11
15/04/2004,168.65,168.99,169.14,167.73
14/04/2004,170.21,168.65,170.21,168.26
13/04/2004,168.8,168.3,169.43,168.1
12/04/2004,167.72,170.13,170.23,166.49
08/04/2004,170.39,169.02,171.12,168.37
07/04/2004,169,167.57,169.78,167.4
06/04/2004,167.51,165,167.78,164.94
02/04/2004,163.42,161.31,163.42,161.31
01/04/2004,160.71,160.14,160.71,158.87
31/03/2004,159.88,159.79,160.4,157.99
30/03/2004,159.02,156.49,159.02,156.49
29/03/2004,156.05,155.39,156.69,154.77
26/03/2004,155.16,158.92,159.43,154
25/03/2004,158.22,161.11,161.32,156.7
24/03/2004,160.95,160.24,160.95,159.93
23/03/2004,160.24,159.91,160.24,157.32
19/03/2004,161.77,158.72,161.77,158.6
18/03/2004,158.83,158.06,159.64,157.91
17/03/2004,158,154.33,158,154.33
16/03/2004,154.3,155.43,155.43,150.94
15/03/2004,156.1,160.09,160.49,155.69
12/03/2004,159.84,157.82,159.84,155.31
11/03/2004,159.3,164.13,164.13,158.49
10/03/2004,164.32,166.75,166.78,162.59
09/03/2004,166.89,166.28,167.78,165.75
08/03/2004,167.66,169.15,169.15,167.05
05/03/2004,169.01,167.64,169.45,167.37
04/03/2004,167.41,168.46,169.31,166.87
03/03/2004,168.14,169.94,170.09,168.14
02/03/2004,169.62,164.96,169.72,164.96
01/03/2004,164.45,165.26,165.36,162.27
27/02/2004,165.32,168.41,168.41,164.17
26/02/2004,168.41,168.53,169.06,167.57
25/02/2004,168.53,169.44,169.73,167.89
24/02/2004,169.6,172.86,172.89,169.17
20/02/2004,172.73,172.01,173.36,171.73
19/02/2004,171.58,171.47,172,170.59
18/02/2004,171.47,169.61,171.89,169.61
17/02/2004,169.51,169.75,170,168.42
16/02/2004,169.69,168.95,169.69,167.68
13/02/2004,168.95,167.62,168.95,167.44
12/02/2004,167.48,168.09,169.16,166.22
11/02/2004,168.02,167.17,168.97,167.07
10/02/2004,167.05,166.96,167.96,166.77
09/02/2004,166.71,165.13,166.72,165.13
06/02/2004,164.44,160.11,164.58,160.11
05/02/2004,160,158.5,160,157.63
04/02/2004,157.94,159.34,160.24,157.68
