Date,Price,Open,High,Low,Volume
18/03/2016,852.10,854.69,857.69,846.77,2100000000
17/03/2016,853.65,854.43,856.87,849.65,1590000000
16/03/2016,849.07,846.12,849.07,843.14,1630000000
15/03/2016,846.41,852.96,853.66,844.10,1550000000
14/03/2016,852.14,844.84,852.17,842.48,1620000000
11/03/2016,838.61,832.10,838.61,830.14,1410000000
10/03/2016,834.31,833.79,834.94,826.38,1420000000
08/03/2016,838.56,842.46,844.94,830.28,1500000000
07/03/2016,842.59,850.91,852.43,840.66,1470000000
04/03/2016,848.61,849.68,852.75,837.71,1240000000
03/03/2016,849.57,851.48,854.67,841.99,1340000000
02/03/2016,848.35,844.26,850.00,843.07,1650000000
01/03/2016,837.14,832.10,838.23,831.57,1370000000
29/02/2016,834.74,829.44,837.89,825.32,1180000000
26/02/2016,828.18,820.53,829.04,818.21,1120000000
25/02/2016,811.29,816.98,817.57,809.18,1040000000
24/02/2016,811.00,807.87,814.91,804.30,994850000
23/02/2016,810.39,824.18,825.46,805.14,1280000000
22/02/2016,822.56,821.34,825.58,817.48,995900000
19/02/2016,820.39,830.28,834.38,817.28,1730000000
18/02/2016,838.79,840.09,844.13,834.45,1840000000
17/02/2016,835.52,829.50,837.53,829.26,1740000000
16/02/2016,831.12,832.35,837.22,827.28,1240000000
15/02/2016,831.06,834.06,836.08,829.06,1210000000
12/02/2016,825.34,834.55,837.68,824.74,1230000000
11/02/2016,839.02,827.54,841.44,827.54,1760000000
10/02/2016,829.63,833.29,840.67,828.63,1270000000
09/02/2016,838.24,837.74,839.99,829.45,1320000000
05/02/2016,843.95,815.91,843.95,815.76,2160000000
04/02/2016,813.75,799.50,814.30,799.23,1750000000
03/02/2016,796.81,785.00,796.81,783.54,1070000000
02/02/2016,793.45,796.70,800.27,792.88,1510000000
01/02/2016,803.03,801.22,803.03,788.58,1430000000
29/01/2016,799.99,797.60,801.11,789.82,1500000000
28/01/2016,795.02,793.72,795.02,789.41,959660000
27/01/2016,793.98,787.39,793.98,785.00,1080000000
26/01/2016,782.92,781.50,784.79,779.73,1050000000
25/01/2016,786.07,786.94,790.31,782.49,1300000000
22/01/2016,779.31,777.07,779.31,770.36,1240000000
21/01/2016,767.90,774.74,777.66,765.00,1240000000
20/01/2016,769.13,778.29,781.47,769.13,1120000000
19/01/2016,782.43,777.73,783.46,774.51,918500000
18/01/2016,776.22,774.95,780.44,773.89,817070000
15/01/2016,784.22,788.06,792.55,784.22,827310000
14/01/2016,786.42,780.70,791.40,774.78,1480000000
13/01/2016,793.30,793.55,797.38,791.62,1330000000
12/01/2016,786.92,779.70,789.51,779.24,958820000
11/01/2016,773.44,781.33,782.98,772.26,766600000
08/01/2016,790.06,784.21,791.37,780.81,1140000000
07/01/2016,785.79,792.12,794.16,785.79,1030000000
06/01/2016,802.13,791.27,810.96,791.00,1430000000
05/01/2016,789.62,782.63,798.32,782.52,1100000000
04/01/2016,782.20,788.39,795.59,782.20,796490000
30/12/2015,792.03,789.23,797.67,789.10,987540000
